study_number;prompt_number;answer
5;1;0
5;2;NA
5;3;0
5;4;1
5;5;0
5;6;1
5;8;1
5;9;1
5;10;0
5;11;0
5;12;1
5;7;0
13;1;1
13;2;0
13;3;0
13;4;0
13;5;1
13;6;1
13;8;1
13;9;1
13;10;1
13;11;0
13;12;1
13;7;0
19;1;1
19;2;0
19;3;0
19;4;0
19;5;0
19;6;1
19;8;1
19;9;1
19;10;1
19;11;0
19;12;1
19;7;1
31;1;1
31;2;0
31;3;0
31;4;1
31;5;1
31;6;1
31;8;1
31;9;1
31;10;1
31;11;1
31;12;1
31;7;1
54;1;1
54;2;0
54;3;0
54;4;0
54;5;0
54;6;1
54;8;1
54;9;1
54;10;1
54;11;0
54;12;1
54;7;0
94;1;1
94;2;NA
94;3;NA
94;4;NA
94;5;0
94;6;0
94;8;1
94;9;1
94;10;1
94;11;0
94;12;1
94;7;NA
98;1;1
98;2;0
98;3;0
98;4;1
98;5;1
98;6;1
98;8;1
98;9;0
98;10;1
98;11;1
98;12;1
98;7;1
100;1;1
100;2;NA
100;3;NA
100;4;1
100;5;0
100;6;1
100;8;1
100;9;1
100;10;1
100;11;0
100;12;1
100;7;1
110;1;0
110;2;1
110;3;NA
110;4;1
110;5;0
110;6;1
110;8;0
110;9;0
110;10;0
110;11;1
110;12;1
110;7;0
124;1;1
124;2;0
124;3;0
124;4;0
124;5;1
124;6;1
124;8;1
124;9;1
124;10;1
124;11;0
124;12;1
124;7;1
125;1;1
125;2;0
125;3;1
125;4;0
125;5;1
125;6;1
125;8;1
125;9;1
125;10;1
125;11;0
125;12;1
125;7;0
129;1;1
129;2;0
129;3;0
129;4;0
129;5;1
129;6;1
129;8;1
129;9;1
129;10;0
129;11;0
129;12;1
129;7;0
172;1;0
172;2;0
172;3;0
172;4;0
172;5;1
172;6;1
172;8;1
172;9;1
172;10;1
172;11;0
172;12;1
172;7;1
191;1;1
191;2;0
191;3;0
191;4;1
191;5;1
191;6;1
191;8;1
191;9;1
191;10;1
191;11;0
191;12;1
191;7;1
214;1;NA
214;2;NA
214;3;1
214;4;1
214;5;1
214;6;1
214;8;1
214;9;1
214;10;0
214;11;0
214;12;1
214;7;NA
223;1;1
223;2;NA
223;3;NA
223;4;0
223;5;0
223;6;1
223;8;1
223;9;1
223;10;1
223;11;0
223;12;1
223;7;1
226;1;1
226;2;0
226;3;0
226;4;0
226;5;1
226;6;1
226;8;1
226;9;0
226;10;1
226;11;0
226;12;1
226;7;1
280;1;1
280;2;0
280;3;1
280;4;0
280;5;0
280;6;0
280;8;1
280;9;1
280;10;1
280;11;0
280;12;1
280;7;1
317;1;NA
317;2;NA
317;3;NA
317;4;NA
317;5;NA
317;6;NA
317;8;NA
317;9;NA
317;10;NA
317;11;NA
317;12;NA
317;7;NA
379;1;1
379;2;0
379;3;0
379;4;NA
379;5;1
379;6;1
379;8;1
379;9;1
379;10;0
379;11;0
379;12;1
379;7;1
400;1;1
400;2;1
400;3;1
400;4;1
400;5;0
400;6;1
400;8;0
400;9;1
400;10;0
400;11;0
400;12;0
400;7;0
424;1;1
424;2;0
424;3;0
424;4;0
424;5;1
424;6;1
424;8;1
424;9;1
424;10;1
424;11;0
424;12;1
424;7;1
435;1;1
435;2;NA
435;3;NA
435;4;0
435;5;0
435;6;0
435;8;1
435;9;1
435;10;0
435;11;NA
435;12;1
435;7;0
480;1;1
480;2;NA
480;3;NA
480;4;1
480;5;1
480;6;1
480;8;1
480;9;1
480;10;1
480;11;1
480;12;1
480;7;1
491;1;1
491;2;0
491;3;0
491;4;0
491;5;0
491;6;1
491;8;1
491;9;1
491;10;0
491;11;NA
491;12;1
491;7;0
535;1;1
535;2;0
535;3;0
535;4;0
535;5;1
535;6;1
535;8;1
535;9;0
535;10;1
535;11;0
535;12;1
535;7;1
541;1;1
541;2;NA
541;3;NA
541;4;1
541;5;0
541;6;1
541;8;1
541;9;1
541;10;1
541;11;0
541;12;1
541;7;0
646;1;0
646;2;1
646;3;0
646;4;1
646;5;0
646;6;1
646;8;0
646;9;0
646;10;0
646;11;0
646;12;1
646;7;0
665;1;NA
665;2;NA
665;3;1
665;4;1
665;5;0
665;6;1
665;8;1
665;9;0
665;10;0
665;11;0
665;12;0
665;7;0
705;1;NA
705;2;NA
705;3;NA
705;4;NA
705;5;NA
705;6;NA
705;8;NA
705;9;NA
705;10;NA
705;11;NA
705;12;NA
705;7;NA
714;1;1
714;2;0
714;3;0
714;4;0
714;5;1
714;6;1
714;8;1
714;9;1
714;10;0
714;11;0
714;12;1
714;7;0
732;1;1
732;2;NA
732;3;NA
732;4;1
732;5;1
732;6;1
732;8;1
732;9;0
732;10;1
732;11;0
732;12;1
732;7;1
760;1;1
760;2;0
760;3;0
760;4;0
760;5;1
760;6;1
760;8;1
760;9;1
760;10;1
760;11;0
760;12;1
760;7;1
819;1;1
819;2;NA
819;3;NA
819;4;0
819;5;1
819;6;1
819;8;1
819;9;1
819;10;1
819;11;NA
819;12;1
819;7;0
827;1;NA
827;2;NA
827;3;NA
827;4;NA
827;5;NA
827;6;NA
827;8;NA
827;9;NA
827;10;NA
827;11;NA
827;12;NA
827;7;NA
837;1;1
837;2;0
837;3;0
837;4;1
837;5;1
837;6;1
837;8;1
837;9;1
837;10;1
837;11;NA
837;12;1
837;7;1
887;1;1
887;2;0
887;3;0
887;4;1
887;5;1
887;6;1
887;8;1
887;9;1
887;10;1
887;11;1
887;12;1
887;7;1
891;1;1
891;2;0
891;3;0
891;4;1
891;5;1
891;6;1
891;8;0
891;9;1
891;10;0
891;11;1
891;12;1
891;7;1
935;1;1
935;2;0
935;3;0
935;4;1
935;5;1
935;6;1
935;8;1
935;9;1
935;10;1
935;11;0
935;12;1
935;7;1
